etp_id,desc,citation,editor,type,location,from,to,text,notes,bibliography
ETP 84,ceramic amphora,AC (1995) 47.261-266,Giovanni Colonna,Other/Unclear Texts,Ager Caeretanus (Castellina del Marangone),-350,-300,"vel : flere [ : - - - ]
    [ - - - ] veluske : [ - - - ]","The text was painted on the shoulder of the amphora, which is fragmentary. The editor notes that the orthography (<b>k</b> before <b>e</b>) and the family name <b>flere</b> point to Volsinii as the source for the amphora and the inscription. The editor suggests that the two persons named here were magistrates at Volsinii and that their names served to date the year the wine was produced.","<ul>
<li>
Colonna, Giovanni. 1995. Anfora vinaria con iscrizione etrusca dalla Castellina del Marangone. <i>AC</i> 47.261-266.</li>
</ul>"
ETP 85,bowl (ceramic),AION(ling) 14 (1992) 203-206,Luigi Pedroni,Proprietary Texts,Campania (unknown),-350,-300,truχiles,"Bibligraphy:
<ul><li>
Pedroni, Luigi. 1992. Un graffito etrusco dalla Campania. <i>AION(ling)</i> 14.203-206.</li></ul>",
ETP 86,cinerary urn,SE 69 (2003) REE 63,Adriano Maggiani,Funerary Texts,Ager Volaterranus (Colle Valdelsa),-500,-500,mi venelus σ{:}hekuntenas,,"<ul><li>

Cianferoni, G. C. 2002. L'Alta Valdelsa in età orientalizzante e arcaica. M. Manganelli - E. Pacchiani (eds.), <i>Città e territorio in Etruria. Per una definizione di città nell'Etruria settentrionale</i>, 83-126. Colle di Valdelsa.</li></ul>"
ETP 87,cinerary urn (tufa),SE 69 (2003) REE 64,Adriano Maggiani,Funerary Texts,Ager Volaterranus (Colle Valdelsa),-500,-500,m[i a]runθia hevxle,,"<ul><li>

Cianferoni, G. C. 2002. L'Alta Valdelsa in età orientalizzante e arcaica. M. Manganelli - E. Pacchiani (eds.), <i>Città e territorio in Etruria. Per una definizione di città nell'Etruria settentrionale</i>, 83-126. Colle di Valdelsa.</li></ul>"
ETP 88,Attic amphora (ceramic),SE 69 (2003) REE 76,Giovanni Colonna,Proprietary Texts,Vulci,-510,-500,faltu,,
ETP 89,cup (impasto),SE 69 (2003) REE 78,Giovanni Colonna,Proprietary Texts,Ager Caeretanus (Tolfa),-600,-600,cua,,"<ol>
<li>SE 58 (1993) REE 25.</li>
</ol>"
ETP 90,applique (ceramic),SE 69 (2003) REE 79 (tav. XXXIV),Daniele Maras,Artisans' Texts,Falerii (Cività Castellana),-300,-250,evrs · ci,"The inscription was incised on the back side of a ceramic ornament in the form of a standing woman. The inscription appears to be the name of the artisan responsible for the piece or perhaps the workshop in which it was produced. <b>evrs</b> is probably a name borrowed from Greek, viz., Εὕρυς. What the number <b>ci</b> 
'three' refers to in this case is not clear to me.",
ETP 91,small amphora (ceramic),SE 69 (2003) REE 80,Giovanni Colonna,Abecedaria,Veii,-675,-650,a b c d,<i>Alpha</i> is tilted onto its left side. <i>Beta</i> and <i>delta</i> are in dextrograde ductus.,
ETP 92,bowl (ceramic),SE 65-68 (2002) REE 5 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-250,-250,[ - - - ]kalu,,
ETP 93,pyxis (ceramic),SE 65-68 (2002) REE 6 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-200,-200,spiu,,
ETP 94,plate (ceramic),SE 65-68 (2002) REE 7 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-200,-200,uniθiu,,
ETP 95,plate (ceramic),SE 65-68 (2002) REE 9 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-300,-250,atakus,The two inscriptions were incised on the bottom of the bowl directly opposite one another.,
ETP 96,plate (ceramic),SE 65-68 (2002) REE 10 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-300,-250,laris atiu,,
ETP 97,plate (ceramic),SE 65-69 (2002) REE 11 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-250,-150,{e} mi karku[ - - - ],,
ETP 98,bowl (ceramic),SE 65-68 (2002) REE 12 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-300,-300,[ - - - ]s ta mi,The editor suggests the following restoration for the text: <b>[kavi]s ta mi</b>.,
ETP 99,bowl (ceramic),SE 65-68 (2002) REE 13 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),-250,-250,atakus,,
ETP 100,bowl (ceramic),SE 65-68 (2002) REE 16 (tav. XXXI),Marisa Buonamici,Proprietary Texts,Ager Pisanus (Massarosa),-500,-450,larθia,,
ETP 101,bowl (ceramic),SE 65-68 (2002) REE 125,Francesca Piva,Proprietary Texts,Venetia (Adria),-200,-150,ceisei,The inscription was incised in dextrograde ductus.,"<ol>
<li>Maggiani, Adriano. 2000. <i>Hesperia</i> 12, 95.</li>
</ol>"
ETP 102,jar (ceramic),SE 65-68 (2002) REE 128,Giovanni Colonna,Proprietary Texts,Ager Saenensis (La Piana),-350,-200,mi arzal [ - - - ],,"Whitehead, Jane K. 1994. <i>Etruscan Studies</i> I, 135."
ETP 103,fragment of dolium (ceramic),SE 65-68 (2002) REE 129,Andrea Ciacci,Proprietary Texts,Ager Saenensis,-100,-80,l · velani · puina,The inscription is stamped on the rim of the jar.,"<ol>
<li>Ciacci, A. 2000. Un bollo doliare etrusco da Rocchette Pannocchieschi. <i>AnnUnivSiena</i> 21.71-81.</li>
</ol>"
ETP 104,olla (ceramic),SE 65-68 (2002) REE 133 (tav. XLI),Giovanni Colonna,Other/Unclear Texts,Ager Tarquiniensis (Luni sul Mignone),-700,-480,[ – – – ]ema an σu[ . . ]rnaxe[ – – – ],"Bibliography:
<ol>
<li>Quercioli, M. 2001. Luni sul Mignone: Etruschi e Micenei. A cura di Bettina L. Knapp, <i>Antemnae, Rassegna di archeolgia, arte, storia e letteratura</i> 3.138-143 (fig. 1-5).</li>
</ol>",
ETP 105,bowl (ceramic),SE 65-68 (2002) REE 134,Giovanni Colonna,Proprietary Texts,Ager Tarquiniensis (San Giovenale),-450,-400,mi reices,,
ETP 106,aryballos (ceramic),SE 56 (1991) REE 42 (tav. LXII),Giovanni Colonna,Dedications,Veii,-600,-600,uθuzteθs vuvze,"Text (a) consists of two utterances: a proprietary text (line 1) followed by a dedication (lines 2-3). The gentilicium, <b>kanzina</b>, is uninflected and should probably be restored as a feminine genitive singular, <b>kanzinaia</b>, in agreement with the first name. The verb <b>muluvace</b> is misspelled. Read muluva(ni)ce.

Text (b) was incised in dextroverse direction. This is probably the 'signature' of the artisan.","<ol>
<li>Di Gennaro, F. 1986-87. BollCommArch 88,2.516.</li>
<li>Maras, Daniele. 2002. Note sull’arrivo del nome di Ulisse in Etruria. SE 65-68.237-239.</li>
</ol>"
ETP 107,cippus (stone),SE 57 (1991) REE 34 (tav. XLVI),Pietro Tamburini,Funerary Texts,Volsinii (Bolsena),-300,-100,[ – – – ]θ : ai[ – – – ],,
ETP 108,kylix (ceramic),SE 56 (1991) REE 11 (tav. LV),Stella Patitucci,Proprietary Texts,Tarquinia,-600,-600,mi araθia,,
ETP 109,fragment of cup (ceramic),SE 65-68 REE 14 (tav. XXXI 14),Marisa Buonomici,Proprietary Texts,Aemilia (Luna),-200,-190,m . velimna,The inscription was incised in dextrograde ductus in a Republican Latin alphabet.,
ETP 110,bowl (ceramic),SE 65-68 REE 15 (tav. XXXI 15),Adriano Maggiani,Proprietary Texts,Pisae,-500,-450,"ei menepi khape mi · mi : karkus 
    venelus","The inscription was incised, except for <b>venelus</b>, around the rim of the foot of the bowl. <b>venelus</b> was incised on the flat portion of the foot, inside the rim. The first part of the text is an 'anti-theft' inscription. How the final portion of the text is to be organized syntactically is not completely clear. The editor suggests a division into three constituents: <b>ei menepi khape.  mi venelus. mi karkus.</b>. Following this analysis, one of the names refers to the owner of the piece, the other refers to the person who gave it.",
ETP 111,fragment of plate (ceramic),SE 65-68 (2002) REE 17 (tav. XXXI 17),Gabrielle Cifani - Giovanni Colonna,Dedications,Ager Volsiniensis,-550,-500,[- - -]ui tura[ce - - - ],,
ETP 112,fragment of a flask (ceramic),SE 65-68 REE 19 (tav. XXXI 19),Dominique Briquel,Artisans' Texts,Vulci,-250,-200,putina : ceizra : acil,The words in this inscription are separated by four puncts aligned vertically.,
ETP 113,fragment of vase (ceramic),SE 65-68 (2002) REE 22 (tav. XXXI 22),Vincenzo Bellelli,Proprietary Texts,Caere,-500,-500,mi larice[s],,
ETP 114,fragment of vase (ceramic),SE 65-68 (2002) REE 23 (tav. XXXI),Vicenzo Bellelli,Proprietary Texts,Caere,-600,-500,apa,,
ETP 115,fragment of kantharos (ceramic),SE 65-68 (2002) REE 24 (tav. XXXI 24),Vincenzo Bellelli,Other/Unclear Texts,Caere,-600,-500,[- - -]acle[- - -],,
ETP 116,fragment of vase (ceramic),SE 65-68 (2002) REE 25 (tav. XXXII),Vincenzo Bellelli,Other/Unclear Texts,Caere,-600,-500,[- - -]esus[- - -],,
ETP 117,fragments of small olla (ceramic),SE 65-68 (2002) REE 49 (tav. XXXII),Vincenzo Bellelli,Proprietary Texts,Caere,-500,-400,venels [ mi ],"The bottom rightmost portion of the final letter is visible. The editor suggests <i>sigma</i>, which would have to be retrograde in ductus. <i>Alpha</i> is also possible, and such a reading would change the syntax of the inscription (name of proprietor in the nominative?).",
ETP 118,fragment of olla (ceramic),SE 65-68 (2002) REE 71 (tav. XXXIII),Giovanni Colonna,Dedications,Veii,-700,-600,mi : raq[u]nθa : tipeia : θina : malaχ [: malaka]si : ita : mena[q]u,"The inscription has two constituents: (a) a proprietary text (<b>mi : raq[u]nθa : tipeia : θina : </b>), which is followed by (b) a dedication <b>malaχ [: malaka]si : ita : mena[q]u</b>).",
ETP 119,fragment of Attic cup (ceramic),"SE 65-68 (2002) REE 72 (tav. XXXIII, 72)",Giovanni Colonna,Proprietary Texts,Veii,-425,-400,[- - -]fufluna [- - -],"Of the initial <b>f</b> only the leftmost portions (of curved strokes) are visible. The final letter is difficult to read, but it appears to be an <i>alpha</i> with the medial stroke ascending in the direction of writing. 

Bibliography:
<ul>
<li>
Sgubini Moretti, Anna Maria (a cura di). 2001.<i> Veio, Cerveteri, Vulci. Città d’Etruria a confronto. Catalogo della Mostra.</i> Roma: “L’Erma” di Bretschneider. [The inscription is on pp. 18-19 (F.Fu.). It is dated to 480-470.]</li>
</ul>",
ETP 120,fragment of phiale (ceramic),"SE 65-68 (2002) REE 73 (tav. XXXIII, 73)",Giovanni Colonna,Artisans' Texts,Veii,-600,-500,mi zinace velθ[ur a]ncinies.,"This fragment belongs to the same piece of ceramic as that with Rix Ve 3.44 (<b>[m]ini nuluvanice lari.s. leθaie.s.)</b>. Both inscriptions were incised by the same hand.

/s/ has the form of the cross, <b>X</b>. A slender portion of the rightmost stroke of <i>theta</i> is visible. The first word may be an error for <b>mini</b>, the acc. form of the 1st pronoun.",
ETP 121,fragment of chalice or kantharos (ceramic),"SE 65-68 (2002) REE 74 (tav. XXXII, 74)",Daniele F. Maras,Proprietary Texts,Ager Capenas (Procoio Nuovo),-600,-550,[ -  -  - ]xiiene.[ -  -  - ],"The point that stands just before the break in the ceramic, if it is not an abrasion on the surface of the ceramic, may be syllabic punctuation.",
ETP 122,fragment of cup (ceramic),SE (2002) 65-68 REE 76 (tav. XXXII),Laura Biondi,Proprietary Texts,Narce,-500,-400,apalus,,
ETP 123,cup (ceramic),"SE 65-68 (2002) REE 76 (tav. XXXII, 76)",Laura Biondi,Proprietary Texts,Narce,-450,-400,peiθe,,
ETP 124,fragment of small flask (ceramic),"SE 65-68 (2002) REE 78 (tav. XXXIV, 78)",Giuseppina Ghini - Giovanni Colonna,Artisans' Texts,Latium (Velitrae),-250,-200,putina : ceizra : acil,"Replicas of this flask and inscription have been found at Bolsena (3), Roma (1), Caere (2) and Vulci (1). For the inscription from Vulci see ETP 112.",
ETP 125,bowl (ceramic),"SE 65-68 (2002) REE 79 (tav. XXXIV, 79)",Vincenzo Bellelli,Abecedaria,Campania (Nola),-500,-500,a c e v φ f,"<i>Gamma</i> is written in retrograde ductus. The reading of the final two letters is not certain. <b>φ</b> is in the form of a trident turned on its head. <b>f</b> is of the Faliscan variety, which is in the form of an arrow.",
ETP 126,bowl (ceramic),"SE 65-68 (2002) REE 81 (tav. XXXIV, 81)",Vincenzo Bellelli,Proprietary Texts,Campania (Nola),-550,-500,uσeli · i,"The palatal /š/ is represented by three-bar <i>sigma</i>. It seems likely that the first part of this text is to be corrected to <b>uσele</b>, which is a common praenomen in the archaic period, but this solution does not address the final portion of the inscription.",
ETP 127,tegola (ceramic),SE 65-68 (2002) REE 82 (tav. ),Giovanni Colonna,Other/Unclear Texts,Campania (Fratte di Salerno),-500,-400,[ -  -  - ]θ nerc[ -  -  - ],"<i>Theta</i> has no medial strokes or punct. <i>Ny</i> has the form <b>H</b>, but with the medial sloping slightly in the direction of writing.",
ETP 128,chalice (ceramic),SE 65-68 (2002) REE 84 (tav. XXXIV),Giovanni Colonna,Dedications,Campania (Pontecagnano) ,-650,-600,mi mulu venelasi velχaesi rasuniesi,,
ETP 129,olpe (ceramic),SE 65-68 (2002) REE 87 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),-500,-500,miliθunas plecus,,
ETP 130,cup (ceramic),SE 65-68 (2002) REE 88 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),-500,-500,mi larisal meminiies,,
ETP 131,kylix (ceramic),SE 65-68 (2002) REE 90 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),-500,-475,θavura,,
ETP 132,cup (ceramic),SE 65-68 (2002) REE 91 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),-500,-475,laruθ χiius,,
ETP 133,kylix (ceramic),SE 65-68 (2002) REE 93 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),-400,-400,mi alza ceriies,,
ETP 134,cup (ceramic),SE 65-68 (2002) REE 94 (tav. XXXV),Giovanni Colonna,Proprietary Texts,Campania (Pontecagnano),-400,-400,artes ta,,
ETP 135,cup (ceramic),SE 65-68 (2002) REE 96 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),-375,-350,tiχ,,
ETP 136,cup (ceramic),SE 65-68 (2002) REE 97 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),-375,-350,atina,,
ETP 137,cup (ceramic),SE 65-68 (2002) REE 100 (tav. XXXV),Giovanni Colonna,Other/Unclear Texts,Campania (Pontecagnano),-650,-575,θac θva,,
ETP 138,cinerary urn (ceramic),SE 65-68 (2002) REE 102 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,-480,50,[ – – – ]a : nx[ – – – ],The inscription was painted on the urn. The urn is of a type common at Chiusi and environs.,
ETP 139,cinerary urn (ceramic),SE 65-68 (2002) REE 103 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,-480,50,arnθ [ – – – ]runa : fulu,The inscription was painted along the upper border of the urn. The urn belongs to a type produced at Chiusi.,
ETP 140,cinerary urn (ceramic),SE 65-68 (2002) REE 104 (tav. XXXVI),Dominique Briquel - Bruno Poulle,Funerary Texts,Unknown,-480,50,θ : cae [:] umr[an]al,The inscription was painted along the upper border of the urn. The urn belongs to a type that was produced at Chiusi.,
ETP 141,cinerary urn (ceramic),SE 65-68 (2002) REE 106 (tav. XXXVI),Dominique Briquel - Richard Adam,Funerary Texts,Unknown,-480,50,l[ – – – ]atin[ – – – ]am [ – – – ]nal,"The inscription was painted in red letters that run along the upper border of the cask. According to the editors, the text may be restored as <b>l[θ l]atin[i n]am[uθ]nal</b>. However, the editors do not indicate the length of the interval between the <b>l</b> and the <b>a</b> at the beginning of the text. The urn belongs to a type that was produced at Chiusi.",
ETP 142,cinerary urn (ceramic),SE 65-68 (2002) REE 107,Dominique Briquel - Bruno Poulle,Funerary Texts,Unknown,-480,50,[ - - - ]x[.]x calix[ – – – ] a : velθxx[ – – – ],"The inscription was painted in black letters running along the upper border of the cask. According to the editors, the praenomen and gentilicium could be restored as <b>[lar]θ[i] : calis[nei – – –]a : velθur[ials]</b>.",
ETP 143,cinerary urn (ceramic),SE 65-68 (2002) REE 108 (tav. XXXVI),Dominique Briquel - Dominique Frère - Laurent Hugot,Funerary Texts,Unknown,-480,50,la[r]θi : θactr[ei  - - - ],The urn is of Chiusine production. The inscription was painted in red along the upper border of the cask.,"<ul>
<li>
Mowat, Robert. 1897. Deux urnes funéraires récemment entrées au Musée de Laval. <i>Bulletin de la commission historique et archéologique de la Mayenne</i> 13.91-101 [91-96, photograph pg. 92].
</li>
</ul>"
ETP 144,cinerary urn (ceramic),SE 65-68 (2002) REE 109 (tav. XXXVI),Dominique Briquel - Marie-Laurence Haack,Funerary Texts,Unknown,-480,50,[ – – – ]t[ – – – ]vel[ . . (?)],The inscription was painted in red along the upper border of the cask.,
ETP 145,cinerary urn (ceramic),SE 65-68 (2002) REE 110,Dominique Briquel,Funerary Texts,Unknown,-480,50,aθ : [ – – – ]ni[ – – –]e[ – – – ],The urn is of Chiusine production. The inscription was painted in red along the upper border of the cask.,
ETP 146,oinochoe (bronze),SE 65-68 (2002) REE 111 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown (South),-400,-300,σuθina,The inscription was incised in dextroverse direction on the belly of the pitcher. The editor questions the authenticity of this text.,
ETP 147,fragments of oinochoe (bronze),SE 65-68 (2002) REE 112,Dominique Briquel,Funerary Texts,Unknown (South),-400,-200,σuθina,The inscription was incised along the inside rim of the neck of the pitcher.,
ETP 148,funerary urn (ceramic),SE 65-68 (2002) REE 113 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,-400,-200,"[ . ]θ[ . . . . ]ucx[ . . . ]uxumsnal : l 
    ca[i]a : [pui]a :","The urn is of Chiusine production. The inscription was painted in red along the upper border of the cask and then it turns runs down along the left side. The editor suggests the following restoration of the text as one possibility: 

<b>[l]θ[: la]uca[ne : la]ucumsnal : l 
ca[ i ]a : [pui]a : </b>",
ETP 149,funerary urn (ceramic),SE 65-68 (2002) REE 114 (tav. XXXVI),Dominique Briquel,Funerary Texts,Unknown,-480,50,[f]aσti : cainei : c[<i>vacat</i>]aulias : rufe,The urn is of Chiusine production. The inscription was painted in red along the upper border of the cask. The editor notes that the <i>praenomen</i> of the deceased could also be restored as <b>[h]aσti</b>.,
ETP 150,two pieces of large amphora or oinochoe (bronze),SE 65-68 (2002) REE 115 (tav. XXXVII),Giovanni Colonna,Proprietary Texts,Unknown,-450,-400,tite θve[8-10 letters],Inscription (a) was incised around the rim of the bronze. (b) runs vertically starting just below the first letter of the last word. Inscription (b) may be restored as <b>tite θve[θlies turce]</b>.,
ETP 151,sarcophagus (ceramic),SE 65-68 (2002) REE 116 (tav. XXXVII-XXVIII),Giovanni Colonna,Funerary Texts,Unknown,-200,-175,"σcurnai [ · se]θ[ra – – – ]
    psa · a[ – – – ]xe · a[ – – – ]",The inscription was painted in two lines on the cask of the sarcophagus.,
ETP 152,chalice (ceramic),SE 65-68 (2002) REE 139,Giovanni Colonna,Other/Unclear Texts,Veii,-700,-600,vka,The letters were incised upside down in dextrograde ductus on the external wall of the vase.,
ETP 153,two fragments of alabastron or olpe (ceramic),SE 65-68 (2002) REE 141,Lorenzo Minciotti – Daniele F. Maras,Other/Unclear Texts,Veii,-700,-480,[ – – – ]utruhx[ – – – ],For fragment one see SE (1971) REE 40.,
ETP 154,fragment of Laconian (?) amphora (ceramic),SE 65-68 (2002) REE 145 (tav. XLI),Giovanni Colonna,Proprietary Texts,Campania (Pompeii),-525,-500,[ – – – ] papeσa,,
ETP 155,lebete (bronze),SE 65-68 (2002) REE 150 (tav. XLI),Giovanni Colonna,Dedications,Lucania (Vaglio Basilicata),-525,-500,mine{i} uvi[e tu]ru[ce] xxx vesricenals,,
ETP 156,kylix (ceramic),SE 56 (1991) REE 2 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),-350,-300,pav,,
ETP 157,bowl (ceramic),SE 56 (1991)  REE 3 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),-350,-300,fulu,,
ETP 158,kylix (ceramic),SE 56 (1991) REE 4 (tav. LV),Daniele Vitali,Proprietary Texts,Aemilia (Monterenzio/Bologna),-320,-300,mi laθialus,,
ETP 159,small olla (ceramic),SE 56 (1991)  REE 5 (tav. LV 5),Giovanni Colonna,Other/Unclear Texts,Volaterrae,-250,-200,[ - - - ]mvχza,,
ETP 160,cover of cinerary urn (stone),SE 56 (1991) REE 6 (tav. LVI),Giovanni Colonna,Funerary Texts,Volaterrae,-100,-100,a · a · pumpnaliσa,,
ETP 161,sarcophagus (stone),SE 56 (1991)  REE 7 (tav. LVI),Elfriede Paschinger,Didaskalia,Volcii,-350,-300,van[θ],The inscription was incised on the cover of the sarcophagus adjacent to a figure of the goddess.,
ETP 162,cippus (stone),SE 56 (1991)  REE 8,Pietro Tamburini,Funerary Texts,Volsinii (Bolsena),-300,-100,θania : alσinei,,"<ul>
<li>
Tamburini, Pietro. 1987. Contributi per la storia del territorio volsiniese I. I cippi funerari e l’onomastica. <i>MEFRA</i>99.640-642.</li>
</ul>"
ETP 163,ovoid cippus (stone),SE 56 (1991)  REE 9 (tav. LVI),Pietro Tamburini,Funerary Texts,Ager Volsiniensis (Isola Martana),-350,-300,av · talus,<b>av</b> and <b>al</b> were written as ligatures.,
ETP 164,kylix (ceramic),SE 56 (1991)  REE 11 (tav. LV),Roberto Macellari,Proprietary Texts,Tarquinia,-650,-600,mi araθia,,
ETP 165,olla (ceramic),SE 56 (1991) REE 12 (tav. LVIII),Giovanni Colonna,Proprietary Texts,Caere,-650,-625,mi satu qurtunia{nia}s,The editor believes that the inscription was incised by two hands. Letters 1-9 are rather large; the rest of the letters are considerably smaller.,
ETP 166,goblet (ceramic),SE 56 (1991)  REE 13 (tav. LVII),Marina Martelli,Proprietary Texts,Caere,-675,-650,mi ramuθas,"Text (a) was inscribed in sinistrograde ductus, text (b) in dextrograde ductus.",
ETP 167,fragment of Attic kylix (ceramic),SE 56 (1991) REE 14 (tav. LVII),Marina Martelli,Proprietary Texts,Caere,-500,-480,[ - - - ]senθiial[ - - - ],,
ETP 168,loom weight (ceramic),SE 56 (1991) REE 15 (tav. LVII),Marina Martelli,Proprietary Texts,Caere,-480,50,han,,
ETP 169,fragment of tegola (ceramic),SE 56 (1991) REE 16 (tav. LVII),Marina Martelli,Funerary Texts,Caere,-480,50,[ - - - ]rati[ - - - ],,
ETP 170,cippus (stone),SE 56 (1991)  REE 17,Maristella Pandolofini,Funerary Texts,Caere,-500,-480,m · clevsinas · a · c,The cippus is now lost. The inscription is mentioned a manuscript in the Vatican Library (codex Latino Vaticano 9773) from the year 1833.,
ETP 171,olla (ceramic),SE 56 (1991) REE 18 (tav. LVIII),Paolo Brocato - Giovanni Colonna,Other/Unclear Texts,Caere,-300,-280,θanaχti,,
ETP 172,plate (ceramic),SE 56 (1991)  REE 19 (tav. LVIII),Marco Rendeli,Other/Unclear Texts,Ager Caeretanus (Tolfa),-520,-475,puzra,,
ETP 173,fragment of Attic kylix (ceramic),SE 56 (1991)  REE 21 (tav. LVIII),Giovanni Colonna,Religious Texts,Pyrgi,-500,-450,mi : σuris : ca[ - - - ],The /š/ in <b> σuris</b> is a 4-bar <i>sigma</i>.,
ETP 174,fragment of bowl (ceramic),SE 59 (1994) REE 4 (tav. XLII),Stella Patitucci - Giovanni Uggeri,Proprietary Texts,Venetia (Spina),-425,-400,[a]vlex[ – – – ],"A small portion of the stroke of another letter is visible at the break in the fabric. It could be the upper rightmost portion of a <i>tsade</i>, in which case we could read <b>[a]vles [ – – – ]</b>.",
ETP 175,bowl (ceramic),SE 59 (1994) REE 10 (tav. XLIII),Marina Martelli,Proprietary Texts,Venetia (Spina),-300,-300,perknas,,
ETP 176,fragment of cup (ceramic),SE 59 (1994) REE 11 (tav. XLIII),Marisa Buonamici,Other/Unclear Texts,Volaterrae,-350,-300,mu[ – – – ],The editor proposes to restore the inscription as <b>mu[nθ]</b>.,
ETP 177,fragment of cup (ceramic),SE 59 (1994) REE 12 (tav. XLIII),Marisa Buonamici,Proprietary Texts,Volaterrae,-225,-150,cavinal,,
ETP 178,fragment of plate (ceramic),SE 59 (1994) REE 14 (tav. XLIII),Marisa Buonamici,Other/Unclear Texts,Volaterrae,-150,-150,[ – – – ]arx[ – – – ],The editor notes that the third character could be either <b>θ</b> or <b>c</b>.,
ETP 179,cippus (stone),SE 59 (1994) REE 15 (tav. XLIV),Rosella Merli,Funerary Texts,Ager Volaterranus (San Gimignano),-500,-450,[ m]i velθuru[s] aχus,,
ETP 180,cinerary urn (stone),SE 59 (1994) REE 16 (tav. XLIV),Gabriele Cifani,Funerary Texts,Clusium,-200,-200,vel : [p]apa[s] : v,,
ETP 181,cinerary urn (stone),SE 59 (1994) REE 17 (tav. XLIV),Ole Hjordt-Vetlesen,Funerary Texts,Ager Clusinus,-200,-200,"meinei · papaσliσ
    a · vl · titialc · sec",,
ETP 182,plate (ceramic),SE 59 (1994) REE 18 (tav. XLV),Pietro Tamburini,Proprietary Texts,Ager Volsiniensis (Grotte di Castro),-600,-500,fastia,,
ETP 183,Attic amphora (ceramic),SE 59 (1994) REE 19 (tav. XLV),Maristella Pandolfini,Proprietary Texts,Ager Tarquiniensis (Blera),-500,-500,avalnies,,
ETP 184,wall of tomb (stone),SE 59 (1994) REE 20 (tav. XLV),Luciano Santella,Funerary Texts,Ager Tarquiniensis (San Giovenale),-550,-550,[m]i larusi ziχan[ – – – ],,
ETP 185,fragment of vase (ceramic),SE 59 (1994) REE 21 (tav. XLV),Gabriele Cifani - Giovanni Colonna,Proprietary Texts,Ager Veientanus (Prima Porta),-500,-500,m zu[ – – – ],,
ETP 186,fragment of handle of kantharos or kyathos (ceramic),SE 59 (1994) REE 22 (tav. XLV),Alessandro Naso,Dedications,Ager Faliscus (Mazzano Romano),-600,-550,leθaie mulvanice mi.ne vhulve.s.,,
ETP 187,fragment of vase (ceramic),SE 59 (1994) REE 23 (tav. LI),Paolo Brocato,Proprietary Texts,Roma,-600,-580,[ – – – ]raices zav[ – – – ],,
ETP 188,cinerary urn (ceramic),SE 59 (1994) REE 24 (tav. LI),Martin Bentz,Funerary Texts,Unknown,-175,-100,larθi  · larci : vetna[l],The urn belongs to a type common at Chiusi. The metronymic could also have the form <b>vetna[liσa]</b>.,
ETP 189,weight (bronze),SE 59 (1994) REE 26 (tav. XLVII-XLVIII),Larissa Bonfante,Dedications,Unknown,-400,-200,ecn : turce : laris : θefries : espial : atial : caθas,,
ETP 190,pedestal (stone),SE 59 (1994) REE 27 (tav. XLIX),Rex Wallace,Dedications,Unknown,-400,-200,"laris
    raθmsnas
    turce",,
ETP 191,Attic kylix (ceramic),SE 59 (1994) REE 44,Marina Martelli,Religious Texts,Tarquinia,-480,-480,turuns,,
ETP 192,sarcophagus (stone),SE 59 (1994) REE 45,Giovanni Colonna,Funerary Texts,Ager Tarquiniensis (Tuscania),-275,-250,cleusinas : laris : larisal : clan,,
ETP 193,amphora (ceramic),SE 59 (1994) REE 46 (tav. LIII),Giovanni Colonna,Proprietary Texts,Caere,-350,-250,"laris
    ecnatie",,
ETP 194,cinerary urn (ceramic),SE 59 (1994) REE 50 (tav. LIII),Dominique Briquel,Funerary Texts,Unknown,-200,-100,faσti · vetrui s[ . . ]x[ . ]x[ . ]a,The form of the urn is Chiusine. The inscription was painted in red letters. The editor notes that personal name could also be <b>haσti</b>.,
ETP 195,strigile (bronze),SE 59 (1994) REE 51 (tav. LIV),Giovanni Colonna,Artisans' Texts,Unknown,-300,-300,ae vipie cultces,The text was stamped on the handle of the strigile.,
